Study.ID,Reference,Site,Lat,Long,Shape,Source,Checked,Notes,
298,Moreira et al 2010,No name,42.121944,-8.845833,point,methods,Using google maps,NA,
300,Ibarra-Obando et al 2009,Tidal,31.719494,-116.650333,point,Figure 1 + google maps,Using google maps,NA,
300,Ibarra-Obando et al 2009,Non-tidal,31.718308,-116.65103,point,Figure 1 + google maps,Using google maps,NA,
303,"Birchenough et al, 2010",I1,50.6179,-0.390931,point,Figure 1 + google maps,Using google maps,Figure and methods are vague on the exact positions. Assumption that they all fall within a relatively small area. This set of points may be better represented with a larger spatial buffer.,
303,"Birchenough et al, 2010",I2,50.6179,-0.390931,point,Figure 1 + google maps,Using google maps,Figure and methods are vague on the exact positions. Assumption that they all fall within a relatively small area. This set of points may be better represented with a larger spatial buffer.,
303,"Birchenough et al, 2010",I3,50.6179,-0.390931,point,Figure 1 + google maps,Using google maps,Figure and methods are vague on the exact positions. Assumption that they all fall within a relatively small area. This set of points may be better represented with a larger spatial buffer.,
303,"Birchenough et al, 2010",I4,50.6179,-0.390931,point,Figure 1 + google maps,Using google maps,Figure and methods are vague on the exact positions. Assumption that they all fall within a relatively small area. This set of points may be better represented with a larger spatial buffer.,
303,"Birchenough et al, 2010",I5,50.6179,-0.390931,point,Figure 1 + google maps,Using google maps,Figure and methods are vague on the exact positions. Assumption that they all fall within a relatively small area. This set of points may be better represented with a larger spatial buffer.,
303,"Birchenough et al, 2010",U1,50.6179,-0.390931,point,Figure 1 + google maps,Using google maps,Figure and methods are vague on the exact positions. Assumption that they all fall within a relatively small area. This set of points may be better represented with a larger spatial buffer.,
303,"Birchenough et al, 2010",U2,50.6179,-0.390931,point,Figure 1 + google maps,Using google maps,Figure and methods are vague on the exact positions. Assumption that they all fall within a relatively small area. This set of points may be better represented with a larger spatial buffer.,
303,"Birchenough et al, 2010",U3,50.6179,-0.390931,point,Figure 1 + google maps,Using google maps,Figure and methods are vague on the exact positions. Assumption that they all fall within a relatively small area. This set of points may be better represented with a larger spatial buffer.,
303,"Birchenough et al, 2010",U4,50.6179,-0.390931,point,Figure 1 + google maps,Using google maps,Figure and methods are vague on the exact positions. Assumption that they all fall within a relatively small area. This set of points may be better represented with a larger spatial buffer.,
303,"Birchenough et al, 2010",U5,50.6179,-0.390931,point,Figure 1 + google maps,Using google maps,Figure and methods are vague on the exact positions. Assumption that they all fall within a relatively small area. This set of points may be better represented with a larger spatial buffer.,
303,"Birchenough et al, 2010",U6,50.6179,-0.390931,point,Figure 1 + google maps,Using google maps,Figure and methods are vague on the exact positions. Assumption that they all fall within a relatively small area. This set of points may be better represented with a larger spatial buffer.,
303,"Birchenough et al, 2010",U7,50.6179,-0.390931,point,Figure 1 + google maps,Using google maps,Figure and methods are vague on the exact positions. Assumption that they all fall within a relatively small area. This set of points may be better represented with a larger spatial buffer.,
304,"Whanpetch et al, 2010",K2 non-veg,9.223611,98.327778,point,Methods,Using google maps,Replicates appear to be taken within 1km area,
304,"Whanpetch et al, 2010",K2 veg,9.223611,98.327778,point,Methods,Using google maps,Replicates appear to be taken within 1km area,
304,"Whanpetch et al, 2010",K3 non-veg,9.250556,98.341667,point,Methods,Using google maps,Replicates appear to be taken within 1km area,
67,"Kilfoyle et al, 2013",N,26.01763679,-80.11303855,point,Figure 1 + webplot digitizer,Using google maps,"There are two sites which were not in the figure, but this is good enough for the cumulative impact values. 23/25 plots should be representative, and they're quite close together.",
67,"Kilfoyle et al, 2013",N,26.02577351,-80.11235828,point,Figure 1 + webplot digitizer,Using google maps,"There are two sites which were not in the figure, but this is good enough for the cumulative impact values. 23/25 plots should be representative, and they're quite close together.",
67,"Kilfoyle et al, 2013",N,26.03151834,-80.11198035,point,Figure 1 + webplot digitizer,Using google maps,"There are two sites which were not in the figure, but this is good enough for the cumulative impact values. 23/25 plots should be representative, and they're quite close together.",
67,"Kilfoyle et al, 2013",N,26.0369228,-80.11175359,point,Figure 1 + webplot digitizer,Using google maps,"There are two sites which were not in the figure, but this is good enough for the cumulative impact values. 23/25 plots should be representative, and they're quite close together.",
67,"Kilfoyle et al, 2013",N,26.03821956,-80.11145125,point,Figure 1 + webplot digitizer,Using google maps,"There are two sites which were not in the figure, but this is good enough for the cumulative impact values. 23/25 plots should be representative, and they're quite close together.",
67,"Kilfoyle et al, 2013",N,26.04102306,-80.11122449,point,Figure 1 + webplot digitizer,Using google maps,"There are two sites which were not in the figure, but this is good enough for the cumulative impact values. 23/25 plots should be representative, and they're quite close together.",
67,"Kilfoyle et al, 2013",N,26.04273143,-80.11099773,point,Figure 1 + webplot digitizer,Using google maps,"There are two sites which were not in the figure, but this is good enough for the cumulative impact values. 23/25 plots should be representative, and they're quite close together.",
67,"Kilfoyle et al, 2013",N,26.05087281,-80.11069539,point,Figure 1 + webplot digitizer,Using google maps,"There are two sites which were not in the figure, but this is good enough for the cumulative impact values. 23/25 plots should be representative, and they're quite close together.",
